0	Frieze	https://en.wikipedia.org/wiki/Frieze	0
1	Cladocera	https://en.wikipedia.org/wiki/Cladocera	3
2	Stairs	https://en.wikipedia.org/wiki/Stairs	4
3	Chardonnay	https://en.wikipedia.org/wiki/Chardonnay	6
4	Seal (emblem)	https://en.wikipedia.org/wiki/Seal_(emblem)	7
5	Surrey	https://en.wikipedia.org/wiki/Surrey	9
6	Indirana semipalmata	https://en.wikipedia.org/wiki/Indirana_semipalmata	14
7	List of Goryeo Buddhist paintings	https://en.wikipedia.org/wiki/List_of_Goryeo_Buddhist_paintings	99
8	Thomas M%C3%BCller	https://en.wikipedia.org/wiki/Thomas_M%C3%BCller	18
9	Gau%E1%B8%8Da (city)	https://en.wikipedia.org/wiki/Gau%E1%B8%8Da_(city)	29
10	Tymfi	https://en.wikipedia.org/wiki/Tymfi	32
11	M%C3%A9tis buffalo hunt	https://en.wikipedia.org/wiki/M%C3%A9tis_buffalo_hunt	35
12	Felipe Gonz%C3%A1lez	https://en.wikipedia.org/wiki/Felipe_Gonz%C3%A1lez	41
13	1139th Engineer Combat Group	https://en.wikipedia.org/wiki/1139th_Engineer_Combat_Group	42
14	Eastern Front (World War II)	https://en.wikipedia.org/wiki/Eastern_Front_(World_War_II)	44
15	Brahmi script	https://en.wikipedia.org/wiki/Brahmi_script	48
16	Kei Nishikori	https://en.wikipedia.org/wiki/Kei_Nishikori	56
17	Qu%27Appelle Indian Residential School	https://en.wikipedia.org/wiki/Qu%27Appelle_Indian_Residential_School	57
18	Moravia	https://en.wikipedia.org/wiki/Moravia	358165
19	Delmon Young	https://en.wikipedia.org/wiki/Delmon_Young	73
20	Emgrand	https://en.wikipedia.org/wiki/Emgrand	75
21	Capodimonte porcelain	https://en.wikipedia.org/wiki/Capodimonte_porcelain	84
22	List of tallest buildings in Hong Kong	https://simple.wikipedia.org/wiki/List_of_tallest_buildings_in_Hong_Kong	85
23	Caf%C3%A9 Gerbeaud	https://en.wikipedia.org/wiki/Caf%C3%A9_Gerbeaud	90
24	List of French forts in North America	https://en.wikipedia.org/wiki/List_of_French_forts_in_North_America	97
